Date,Sales
2022-01-01,12000
2022-02-01,12500
2022-03-01,13200
2022-04-01,12800
2022-05-01,14000
2022-06-01,14500
2022-07-01,15000
2022-08-01,14800
2022-09-01,15500
2022-10-01,16200
2022-11-01,17500
2022-12-01,19000
2023-01-01,15500
2023-02-01,16000
2023-03-01,16800
2023-04-01,16500
2023-05-01,17800
2023-06-01,18200
2023-07-01,18800
2023-08-01,18500
2023-09-01,19500
2023-10-01,20500
2023-11-01,22000
2023-12-01,24000
2024-01-01,19500
2024-02-01,20200
2024-03-01,21000
2024-04-01,20800
2024-05-01,22000
2024-06-01,22800
2024-07-01,23500
2024-08-01,23200
2024-09-01,24500
2024-10-01,25500
2024-11-01,27500
2024-12-01,30000
2025-01-01,24500
2025-02-01,25200
2025-03-01,26500
2025-04-01,26000
2025-05-01,27500
2025-06-01,28200
2025-07-01,29000
2025-08-01,28700
2025-09-01,30000
2025-10-01,31500
2025-11-01,34000
2025-12-01,37000
